code,market,issue,issue_short,industry,unit,info,topix100,tracking
3626-T,東証1部,ITホールディングス,ＴＳＩ　ＨＤ,情報・通信業,100,貸借銘柄,,
3627-T,東証1部,ネオス,ＩＴＨＤ,情報・通信業,100,貸借銘柄,,
3630-T,東証1部,電算システム,ネオス,情報・通信業,100,貸借銘柄,,
3632-T,東証1部,グリー,電算システム,情報・通信業,100,貸借銘柄,,
3635-T,東証1部,コーエーテクモホールディングス,グリー,情報・通信業,100,貸借銘柄,,
3636-T,東証1部,三菱総合研究所,コーエーテクモ,情報・通信業,100,貸借銘柄,,
3639-T,東証1部,ボルテージ,三菱総研,情報・通信業,100,貸借銘柄,,
3640-T,東証1部,電算,ボルテージ,情報・通信業,100,貸借銘柄,,
3648-T,東証1部,AGS,電算,情報・通信業,100,貸借銘柄,,
3649-T,東証1部,ファインデックス,ＡＧＳ,情報・通信業,100,貸借銘柄,,
3654-T,東証1部,ヒト・コミュニケーションズ,ファインデックス,情報・通信業,100,制度信用銘柄,,
3655-T,東証1部,ブレインパッド,ヒトコム,情報・通信業,100,制度信用銘柄,,
3656-T,東証1部,KLab,ブレインパッド,情報・通信業,100,制度信用銘柄,,
3657-T,東証1部,ポールトゥウィン・ピットクルーホールディングス,ＫＬａｂ,情報・通信業,100,制度信用銘柄,,
